event_ticker,event_title,market_ticker,market_title,keywords,market_p,p_per_speech,exp_speeches,model_p,edge,yes_bid,yes_ask,volume,close_time
KXTRUMPSAY-26FEB02,What will Trump say this week?,KXTRUMPSAY-26FEB02-TDS,"Will Trump say ""TDS / Trump Derangement Syndrome"" before Feb 2, 2026?",derangement|syndrome|tds|trump,0.25,0.9781,0.27,0.6469,0.3969,22,28,4821,2026-02-02T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-THIR,"Will Trump say ""Third Term"" before Feb 1, 2026?",term|third,0.045,0.7477,0.14,0.1745,0.1295,4,5,15977,2026-02-01T15:00:00Z
KXTRUMPSAY-26FEB02,What will Trump say this week?,KXTRUMPSAY-26FEB02-INSU,"Will Trump say ""Insurrection Act"" before Feb 2, 2026?",act|insurrection,0.2,0.7477,0.27,0.3129,0.1129,19,21,3941,2026-02-02T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-TURN,"Will Trump say ""Turning Point"" before Feb 1, 2026?",point|turning,0.08,0.6825,0.14,0.1476,0.0676,6,10,13537,2026-02-01T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-NINE,"Will Trump say ""Nine War"" before Feb 1, 2026?",nine|war,0.025,0.4953,0.14,0.0908,0.0658,2,3,6043,2026-02-01T15:00:00Z
KXTRUMPSAY-26FEB02,What will Trump say this week?,KXTRUMPSAY-26FEB02-DRIL,"Will Trump say ""Drill Baby Drill"" before Feb 2, 2026?",baby|drill,0.1,0.2901,0.27,0.0892,-0.0108,6,14,4618,2026-02-02T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-TAYL,"Will Trump say ""Taylor Swift"" before Feb 1, 2026?",swift|taylor,0.015,0.0219,0.14,0.0031,-0.0119,1,2,10868,2026-02-01T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-STIM,"Will Trump say ""Stimulus"" before Feb 1, 2026?",stimulus,0.035,0.0,0.14,0.0,-0.035,2,5,55187,2026-02-01T15:00:00Z
KXTRUMPSAYMONTH-26FEB01,What will Trump say in January?,KXTRUMPSAYMONTH-26FEB01-NICK,"Will Trump say ""Nick Shirley"" before Feb 1, 2026?",nick|shirley,0.05,0.0,0.14,0.0,-0.05,3,7,28616,2026-02-01T15:00:00Z
KXTRUMPSAY-26FEB02,What will Trump say this week?,KXTRUMPSAY-26FEB02-ANTI,"Will Trump say ""Antifa"" before Feb 2, 2026?",antifa,0.14,0.24,0.27,0.0721,-0.0679,12,16,12234,2026-02-02T15:00:00Z
