ts_iso,ticker,qty_yes,avg_cost_cents,mark_cents,unreal_pnl_usd
2026-01-31T13:55:48.487544+00:00,KXBTCD-26JAN3107-T82749.99,19,0.774,99.0,18.663
2026-01-31T13:55:48.487544+00:00,KXBTCD-26JAN3107-T83249.99,10,0.05,1.0,0.095
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31QUECHA-CHA,20,0.44,2.0,0.312
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31QUECHA-QUE,20,0.66,99.0,19.668
2026-01-31T13:55:48.487544+00:00,KXWTAMATCH-26JAN31JACPAQ-PAQ,20,0.92,99.0,19.616
2026-01-31T13:55:48.487544+00:00,KXAOWOMEN-26-ASAB,151,0.61,1.0,0.5891
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KORDRA-KOR,141,0.779,99.0,138.491
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30SHIHIJ-HIJ,25,0.248,1.0,0.188
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30JUSBAR-BAR,30,0.58,99.0,29.526
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KYPSMI-SMI,35,0.24,1.0,0.266
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN30KYPSMI-KYP,45,0.563,99.0,44.2965
2026-01-31T13:55:48.487544+00:00,KXATPMATCH-26JAN29ALCZVE-ZVE,145,0.692,1.0,0.4465
2026-01-31T13:55:48.487544+00:00,KXATPMATCH-26JAN29ALCZVE-ALC,100,0.5,99.0,98.5
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29HAWUCI-UCI,126,0.679,99.0,123.885
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29MIACHI-MIA,146,0.898,99.0,143.229
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN29TOMHIJ-HIJ,65,0.98,99.0,63.713
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29HOUATL-HOU,15,0.66,99.0,14.751
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29NJITALBY-NJIT,145,0.943,99.0,142.182
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29NJITALBY-ALBY,10,0.06,1.0,0.094
2026-01-31T13:55:48.487544+00:00,KXNBAGAME-26JAN29MILWAS-MIL,10,0.45,1.0,0.055
2026-01-31T13:55:48.487544+00:00,KXNCAAMBGAME-26JAN29BRYBING-BRY,15,0.463,1.0,0.0805
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN29KORILA-KOR,70,0.52,99.0,68.936
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSIM-BAR,15,0.671,1.0,0.0494
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSIM-SIM,5,0.6,99.0,4.92
2026-01-31T13:55:48.487544+00:00,KXATPCHALLENGERMATCH-26JAN28BARSHI-BAR,11,0.96,99.0,10.7844
